"turnover","population","distance","mall","central"
469.341656538396,1249,1.60010916739702,"0","1"
1239.89469729627,2226,1.69516777023673,"1","0"
1455.11305411401,2546,2.35934239029884,"1","0"
1181.4379832993,2191,1.96431419923902,"1","0"
1135.11713841196,1668,3.82008818648756,"0","0"
283.401917266748,1877,0.290504052117467,"0","1"
1634.22191715144,2752,3.84635466039181,"1","0"
1490.06484501354,2473,4.87855953462422,"0","0"
1915.49596776334,3769,3.9851486582309,"0","0"
1354.57671297462,1839,3.24442447572947,"0","0"
1148.36455069986,3315,1.74427543878555,"1","1"
1535.42225408264,3571,2.00056309960783,"0","1"
1444.75666827584,3274,1.10335206277668,"1","0"
1439.80070404183,3551,3.07381234429777,"1","1"
975.146923975137,2228,0.446973472088575,"1","0"
250.612097034045,1165,0.697551749274135,"0","1"
1312.96163113605,2734,3.62249857783318,"0","1"
1825.01820090948,3235,3.34694289304316,"1","0"
1381.30807638112,3659,1.98681485950947,"0","1"
575.126369574016,1092,4.5446590937674,"0","1"
1080.24442701719,2875,3.05776637978852,"1","1"
1290.75341433758,2811,4.2533514726907,"0","0"
1229.10073958949,1232,4.3339114215225,"1","0"
1390.90188914796,2242,1.49154324159026,"1","0"
806.007377125979,2028,4.86436971239746,"1","1"
1414.37386418942,1607,4.97769157029688,"1","0"
1580.91101248399,3521,4.00097683295608,"0","1"
1044.8073385396,1798,2.03129635900259,"0","0"
1996.13426477001,3494,3.51037130206823,"1","0"
1347.36565459522,2154,2.56582486741245,"1","0"
1774.86510034659,3462,2.41807390414178,"1","0"
1033.66301308912,1923,3.43852675668895,"0","1"
1474.34878538322,2320,4.38849265277386,"1","0"
1810.79770763251,3596,4.87172698043287,"0","0"
1333.57780104135,1332,3.52292906157672,"1","0"
1376.74570370049,3910,1.58623780943453,"1","1"
1017.92137424532,1577,1.65503292344511,"1","0"
1337.35193597838,3818,0.735811157524586,"1","1"
64.9064867356236,1446,0.232573329657316,"0","1"
518.402820509337,1953,0.889219217002392,"0","1"
834.225168820286,1405,1.11897658072412,"1","0"
1625.03486540843,3475,3.04252844527364,"0","1"
2151.78444053492,3015,4.19599573984742,"1","0"
953.409332723895,1727,4.45129102133214,"0","1"
1381.69059968416,2256,4.13023340962827,"1","0"
1161.42544993964,1983,4.27200021706521,"0","0"
2213.15750144469,3859,4.87009220533073,"1","0"
1276.88505101594,1745,4.01424628086388,"1","0"
1254.13425007033,2343,2.02870587259531,"1","0"
231.358145509925,1449,0.723397701978683,"0","1"
915.199416523942,2262,0.899742406979203,"1","1"
1665.949579075,3508,1.08345418907702,"1","0"
1417.3098409234,2566,3.37793062031269,"0","0"
619.98436649415,1654,2.67753720879555,"0","1"
1464.34455492537,1743,3.84048133343458,"1","0"
1074.53861078705,2098,2.85432764105499,"0","1"
689.174808362425,1700,3.06777129545808,"0","1"
1162.11323200586,3234,0.843839434534311,"1","1"
